时间,中国-确诊,中国-新增确诊,中国-治愈,中国-死亡,中国-疑似,武汉市-确诊,武汉市-新增确诊,武汉市-治愈,武汉市-死亡,武汉市-疑似,广州市-确诊,广州市-新增确诊,广州市-治愈,广州市-死亡,广州市-疑似,深圳市-确诊,深圳市-新增确诊,深圳市-治愈,深圳市-死亡,深圳市-疑似,浙江省-确诊,浙江省-新增确诊,浙江省-治愈,浙江省-死亡,浙江省-疑似,河南省-确诊,河南省-新增确诊,河南省-治愈,河南省-死亡,河南省-疑似,湖北省-确诊,湖北省-新增确诊,湖北省-治愈,湖北省-死亡,湖北省-疑似,广东省-确诊,广东省-新增确诊,广东省-治愈,广东省-死亡,广东省-疑似,安徽省-确诊,安徽省-新增确诊,安徽省-治愈,安徽省-死亡,安徽省-疑似,北京市-确诊,北京市-新增确诊,北京市-治愈,北京市-死亡,北京市-疑似,上海市-确诊,上海市-新增确诊,上海市-治愈,上海市-死亡,上海市-疑似,湖南省-确诊,湖南省-新增确诊,湖南省-治愈,湖南省-死亡,湖南省-疑似
20191213,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191214,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191215,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191216,6,2,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191217,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191218,7,1,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191219,8,1,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191220,9,1,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191221,14,5,0,0,0,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191222,18,4,0,0,0,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191223,21,3,0,0,0,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191224,29,8,0,0,0,29,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191225,30,1,0,0,0,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191226,33,3,0,0,0,33,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191227,35,2,0,0,0,35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191228,37,2,0,0,0,37,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191229,37,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191230,37,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20191231,37,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200101,40,3,0,0,0,40,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200102,43,3,0,0,0,43,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200103,44,1,0,0,0,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200104,41,-3,0,0,0,41,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200105,41,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200106,41,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200107,41,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200108,41,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200109,41,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200110,41,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200111,41,0,2,1,0,41,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200112,41,0,6,1,0,41,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200113,41,0,7,1,0,41,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200114,41,0,7,1,0,41,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200115,41,0,7,1,0,41,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200116,41,0,12,2,0,41,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200117,45,4,15,2,0,45,4,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,4,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200118,62,17,19,2,0,62,17,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,17,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200119,121,59,24,3,0,121,59,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,59,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200120,199,78,25,3,0,198,77,25,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,198,77,25,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200121,290,91,25,6,36,258,60,27,3,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,16,0,0,0,0,0,270,72,25,6,0,14,13,0,0,7,0,0,0,0,1,5,5,0,0,0,1,1,0,0,0,0,0,0,0,0
20200122,437,147,28,9,17,343,85,27,3,0,2,2,0,0,0,14,14,0,0,0,5,5,0,0,0,1,1,0,0,0,375,105,28,9,0,26,12,0,0,0,0,0,0,0,1,10,5,0,0,0,6,5,0,0,3,1,1,0,0,0
20200123,575,138,28,17,61,405,62,27,11,0,5,3,0,0,0,15,1,0,0,0,10,5,0,0,0,5,4,0,0,0,444,69,28,17,0,32,6,0,0,0,1,1,0,0,4,14,4,0,0,0,16,10,0,0,22,4,3,0,0,0
20200124,867,292,34,26,38,495,90,0,0,0,7,2,0,0,0,15,0,2,0,0,43,33,1,0,0,9,4,0,0,0,549,105,31,24,0,53,21,2,0,0,15,14,0,0,0,22,8,0,0,0,20,4,0,0,34,24,20,0,0,0
20200125,1327,460,37,41,95,572,77,0,38,0,14,7,0,0,0,20,5,2,0,0,62,19,1,0,0,32,23,0,0,1,729,180,32,39,0,78,25,2,0,0,39,24,0,0,0,36,14,0,0,0,33,13,1,0,72,43,19,0,0,0
20200126,1976,649,47,56,147,618,46,40,45,0,14,0,0,0,0,27,7,2,0,0,104,42,1,0,0,83,51,0,1,0,1052,323,42,52,0,98,20,2,0,0,60,21,0,0,0,54,18,2,0,0,40,7,1,1,0,69,26,0,0,0
20200127,2765,789,49,81,284,698,80,42,63,0,41,27,0,0,0,36,9,3,0,0,128,24,1,0,0,128,45,0,1,0,1423,371,45,76,0,151,53,3,0,0,70,10,0,0,0,80,26,2,1,0,53,13,3,1,0,100,31,0,0,0
20200128,4523,1758,58,106,604,1590,892,47,85,0,51,10,0,0,0,57,21,4,0,0,173,45,3,0,0,168,40,0,1,0,2714,1291,52,100,0,207,56,4,0,0,106,36,0,0,0,91,11,4,1,0,66,13,4,1,0,143,43,0,0,0
20200129,5985,1462,104,132,723,1905,315,54,104,0,63,12,0,0,0,80,23,4,0,0,296,123,3,0,0,206,38,1,2,0,3554,840,87,125,0,277,70,5,0,0,152,46,2,0,0,111,20,4,1,0,96,30,5,1,0,221,78,0,0,0
20200130,7661,1676,126,170,827,2261,356,54,129,0,94,31,3,0,0,98,18,4,0,0,428,132,4,0,0,278,72,2,2,0,4903,1349,90,162,0,354,77,10,0,0,200,48,2,0,0,114,3,4,1,0,112,16,5,1,0,277,56,2,0,0
20200131,9694,2033,170,213,1075,2639,378,103,159,0,112,18,1,0,0,134,36,4,0,0,538,110,11,0,0,352,74,3,2,0,5806,903,141,204,0,436,82,11,0,0,237,37,3,0,0,139,25,5,1,0,135,23,9,1,0,332,55,2,0,0
20200201,11901,2207,0,0,0,3215,576,106,192,0,150,38,3,0,0,170,36,5,0,0,599,61,21,0,0,422,70,3,2,0,7153,1347,168,249,0,535,99,14,0,0,297,60,5,0,0,168,29,9,1,0,169,34,10,1,0,389,57,8,0,0
20200202,14490,2589,0,0,0,4109,894,175,224,0,179,29,3,0,0,207,37,5,0,0,661,62,32,0,0,493,71,9,2,0,9074,1921,267,294,0,632,97,15,0,0,340,43,7,0,0,191,23,9,1,0,182,13,10,1,0,463,74,16,0,0
20200203,17341,2851,0,0,0,5142,1033,228,265,0,200,21,3,0,0,245,38,10,0,0,724,63,43,0,0,566,73,14,2,0,11177,2103,300,350,0,725,93,21,0,0,408,68,11,0,0,212,21,12,1,0,203,21,10,1,0,521,58,22,0,0
20200204,20537,3196,728,426,23214,6384,1242,305,313,0,224,24,3,0,0,271,26,13,0,0,829,105,60,0,0,675,109,35,2,0,13522,2345,398,414,0,813,88,27,0,0,480,72,20,0,0,228,16,23,1,0,219,16,12,1,0,593,72,32,0,0
20200205,24441,3904,1001,493,23260,8351,1967,373,362,0,249,25,7,0,0,291,20,16,0,0,895,66,77,0,0,764,89,50,2,0,16678,3156,532,479,0,895,82,41,0,0,530,50,23,0,0,253,25,24,1,0,243,24,15,1,0,661,68,48,0,0
20200206,28140,3699,1362,565,24702,10117,1766,454,414,0,270,21,20,0,0,316,25,22,0,0,954,59,94,0,0,851,87,64,2,0,19665,2987,682,549,0,970,75,73,0,0,591,61,34,0,0,274,21,31,1,0,257,14,25,1,0,711,50,83,0,0
20200207,31264,3124,1718,637,26359,11618,1501,454,478,0,285,15,20,0,0,339,23,31,0,0,1006,52,122,0,0,914,63,87,3,0,22112,2447,832,618,0,1034,64,86,1,0,665,74,47,0,0,297,23,34,1,0,277,20,30,1,0,772,61,116,0,0
20200208,34672,3408,2366,724,27657,13603,1985,743,545,0,301,16,27,0,0,354,15,39,0,0,1048,42,173,0,0,981,67,114,4,0,24953,2841,1213,699,0,1095,61,115,1,0,733,68,59,0,0,315,18,34,2,0,286,9,41,1,0,803,31,155,1,0
20200209,37252,2580,2696,813,28942,14982,1379,877,608,0,304,3,27,0,0,364,10,39,0,0,1075,27,185,0,0,1033,52,131,6,0,27100,2147,1440,780,0,1120,25,127,1,0,779,46,59,1,0,326,11,37,2,0,293,7,44,1,0,838,35,159,1,0
20200210,40235,2983,3288,909,23589,16902,1920,1044,681,0,313,9,36,0,0,368,4,46,0,0,1092,17,201,0,0,1073,40,169,6,0,29631,2531,1795,871,0,1151,31,143,1,0,830,51,73,3,0,337,11,44,2,0,295,2,44,1,0,879,41,186,1,0
20200211,42708,2473,3998,1017,21675,18454,1552,1206,748,0,317,4,49,0,0,375,7,56,0,0,1117,25,250,0,0,1105,32,198,7,0,31728,2097,2222,974,0,1177,26,181,1,0,860,30,88,4,0,342,5,48,3,0,302,7,48,1,0,912,33,213,1,0
20200212,44742,2034,4754,1114,16067,19558,1104,1377,820,0,323,6,70,0,0,386,11,66,0,0,1131,14,279,0,0,1135,30,231,8,0,33366,1638,2639,1068,0,1219,42,241,1,0,889,29,110,4,0,352,10,56,3,0,306,4,53,1,0,946,34,263,2,0
